"shipment_id","supply_date","supply_month","mountain_region","company_name","goods_category","quantity_shipped","demand_level","route_difficulty","distance_km","altitude_meters","vehicle_type","weather_condition","landslide_risk","logistics_upgrade","delivery_time_hours","delay_hours","fuel_cost","driver_cost","maintenance_cost","revenue","total_cost","profit","profit_margin","customer_satisfaction","delivery_status","cost_per_km","revenue_per_unit","profit_per_unit","route_efficiency_score","risk_score","profit_category","operational_performance_rating","delay_category","revenue_category","efficiency_category"
"SH0011","2025-06-08","June","Auli","SnowPeak Logistics","Fuel & Energy",631,"High","Hard",109,1988,"Pickup Van","Clear","Medium","No",7,2,10262.0,5928.0,3154.0,65320.0,19344.0,45976.0,0.7039,4.5,"On Time",177.47,103.52,631.0,42179.82,5,"Medium Profit","Excellent","Minor Delay","Standard","Medium"
"SH0012","2025-11-12","November","Leh","MountainLink Transport","Food Supplies",256,"Low","Hard",223,3651,"Mini Truck","Clear","Low","Yes",11,0,7940.0,2769.0,3811.0,21289.0,14520.0,6769.0,0.318,5.0,"On Time",65.11,83.16,256.0,3035.43,4,"Low Profit","Average","No Delay","Basic","Low"
"SH0013","2025-05-26","May","Auli","Altitude Movers","Construction Material",601,"Low","Easy",362,4946,"Truck","Fog","Low","Yes",19,1,5987.0,2490.0,829.0,68075.0,9306.0,58769.0,0.8633,4.8,"On Time",25.71,113.27,601.0,16234.53,2,"High Profit","Excellent","Minor Delay","Standard","Low"
"SH0014","2025-10-25","October","Badrinath","MountainLink Transport","Food Supplies",332,"Low","Easy",324,3297,"Off-road Vehicle","Snow","High","Yes",26,10,2501.0,5029.0,4263.0,40874.0,11793.0,29081.0,0.7115,3.5,"Delayed",36.4,123.11,332.0,8975.62,4,"Medium Profit","Poor","Severe Delay","Standard","Low"
"SH0015","2025-02-14","February","Pithoragarh","Himalayan Freight","Retail Goods",511,"Medium","Easy",51,2694,"Mini Truck","Clear","Low","No",4,1,2088.0,3893.0,885.0,19389.0,6866.0,12523.0,0.6459,4.6,"On Time",134.63,37.94,511.0,24554.9,2,"Low Profit","Excellent","Minor Delay","Basic","Low"
"SH0016","2025-12-20","December","Pithoragarh","MountainLink Transport","Fuel & Energy",409,"High","Medium",303,3530,"Truck","Clear","Medium","Yes",15,0,3259.0,2661.0,1631.0,48408.0,7551.0,40857.0,0.844,5.0,"On Time",24.92,118.36,409.0,13484.16,4,"Medium Profit","Excellent","No Delay","Standard","Low"
"SH0017","2025-03-13","March","Roopkund","Himalayan Freight","Construction Material",352,"Low","Medium",260,3754,"Truck","Clear","Low","No",14,1,7555.0,2668.0,1016.0,61613.0,11239.0,50374.0,0.8176,4.6,"On Time",43.23,175.04,352.0,19374.62,3,"High Profit","Excellent","Minor Delay","Standard","Low"
"SH0018","2025-01-06","January","Pithoragarh","SnowPeak Logistics","Trekking Equipment",517,"High","Medium",358,2879,"Truck","Rain","Low","No",21,4,8390.0,1943.0,867.0,76528.0,11200.0,65328.0,0.8536,4.2,"On Time",31.28,148.02,517.0,18248.04,3,"High Profit","Good","Moderate Delay","Premium","Low"
"SH0019","2025-02-12","February","Spiti","PeakRoute Supply","Construction Material",881,"Low","Hard",228,2028,"Off-road Vehicle","Snow","Medium","No",16,5,9301.0,5316.0,4281.0,72987.0,18898.0,54089.0,0.7411,4.0,"Delayed",82.89,82.85,881.0,23723.25,5,"High Profit","Average","Moderate Delay","Premium","Low"
"SH0020","2025-01-20","January","Badrinath","SnowPeak Logistics","Medical Supplies",303,"Medium","Hard",373,5472,"Pickup Van","Rain","Medium","No",20,2,9284.0,2611.0,3828.0,67025.0,15723.0,51302.0,0.7654,4.6,"On Time",42.15,221.2,303.0,13753.89,5,"High Profit","Excellent","Minor Delay","Standard","Low"
"SH0021","2025-11-12","November","Spiti","PeakRoute Supply","Food Supplies",94,"Low","Easy",212,2978,"Off-road Vehicle","Rain","High","Yes",15,5,5729.0,4523.0,2137.0,40732.0,12389.0,28343.0,0.6958,4.2,"Delayed",58.44,433.32,94.0,13369.34,4,"Medium Profit","Average","Moderate Delay","Standard","Low"
"SH0022","2025-06-10","June","Chamoli","PeakRoute Supply","Medical Supplies",562,"Low","Medium",376,4378,"Truck","Snow","Medium","No",24,6,5520.0,3549.0,2938.0,35564.0,12007.0,23557.0,0.6624,4.0,"Delayed",31.93,63.28,562.0,6265.16,4,"Low Profit","Average","Severe Delay","Basic","Low"
"SH0023","2025-07-09","July","Uttarkashi","PeakRoute Supply","Trekking Equipment",701,"High","Easy",117,2935,"Mini Truck","Rain","Low","Yes",8,3,3255.0,5611.0,1575.0,33832.0,10441.0,23391.0,0.6914,4.5,"On Time",89.24,48.26,701.0,19992.31,2,"Low Profit","Good","Moderate Delay","Basic","Low"
"SH0024","2025-02-06","February","Badrinath","Altitude Movers","Medical Supplies",631,"Medium","Medium",340,4329,"Truck","Clear","Medium","No",18,1,6008.0,1995.0,2257.0,52477.0,10260.0,42217.0,0.8045,4.7,"On Time",30.18,83.16,631.0,12416.76,4,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0025","2025-04-03","April","Valley of Flowers","Everest Cargo Solutions","Food Supplies",626,"Low","Medium",131,2654,"Off-road Vehicle","Snow","Low","No",11,5,7177.0,5305.0,4029.0,30412.0,16511.0,13901.0,0.4571,4.0,"Delayed",126.04,48.58,626.0,10611.45,3,"Low Profit","Average","Moderate Delay","Basic","Low"
"SH0026","2025-12-07","December","Badrinath","Altitude Movers","Medical Supplies",925,"High","Easy",52,3101,"Truck","Clear","Low","No",4,1,3481.0,2746.0,2445.0,58761.0,8672.0,50089.0,0.8524,4.7,"On Time",166.77,63.53,925.0,96325.0,2,"High Profit","Excellent","Minor Delay","Standard","High"
"SH0027","2025-01-03","January","Leh","Everest Cargo Solutions","Trekking Equipment",651,"Low","Medium",133,5287,"Pickup Van","Rain","Medium","No",9,3,4505.0,4953.0,1661.0,34763.0,11119.0,23644.0,0.6801,4.3,"On Time",83.6,53.4,651.0,17777.44,4,"Low Profit","Good","Moderate Delay","Basic","Low"
"SH0028","2025-11-30","November","Auli","Everest Cargo Solutions","Fuel & Energy",612,"Medium","Easy",170,2220,"Mini Truck","Fog","Low","Yes",9,1,2250.0,2054.0,2772.0,36546.0,7076.0,29470.0,0.8064,4.8,"On Time",41.62,59.72,612.0,17335.29,2,"Medium Profit","Excellent","Minor Delay","Basic","Low"
"SH0029","2025-06-14","June","Kedarnath","Altitude Movers","Food Supplies",870,"High","Hard",246,4994,"Truck","Clear","Low","Yes",12,0,8009.0,3897.0,1995.0,68176.0,13901.0,54275.0,0.7961,5.0,"On Time",56.51,78.36,870.0,22063.01,4,"High Profit","Excellent","No Delay","Standard","Low"
"SH0030","2025-11-01","November","Yamunotri","Everest Cargo Solutions","Fuel & Energy",996,"Low","Medium",384,4217,"Truck","Snow","Low","Yes",25,6,3307.0,2531.0,2143.0,26363.0,7981.0,18382.0,0.6973,4.1,"Delayed",20.78,26.47,996.0,4786.98,3,"Low Profit","Average","Severe Delay","Basic","Low"
"SH0031","2025-08-09","August","Yamunotri","MountainLink Transport","Food Supplies",461,"Low","Medium",334,2030,"Off-road Vehicle","Clear","High","No",19,3,5206.0,3759.0,2973.0,72847.0,11938.0,60909.0,0.8361,4.3,"On Time",35.74,158.02,461.0,18236.23,5,"High Profit","Good","Moderate Delay","Premium","Low"
"SH0032","2025-05-23","May","Spiti","MountainLink Transport","Food Supplies",901,"Medium","Medium",255,1545,"Pickup Van","Rain","Low","No",13,1,6654.0,2352.0,2056.0,51094.0,11062.0,40032.0,0.7835,4.6,"On Time",43.38,56.71,901.0,15698.82,3,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0033","2025-10-21","October","Kedarnath","Himalayan Freight","Retail Goods",589,"Medium","Hard",62,4549,"Mini Truck","Snow","Medium","Yes",6,3,5305.0,3423.0,5198.0,42390.0,13926.0,28464.0,0.6715,4.5,"On Time",224.61,71.97,589.0,45909.68,5,"Medium Profit","Good","Moderate Delay","Standard","Medium"
"SH0034","2025-01-28","January","Roopkund","PeakRoute Supply","Retail Goods",764,"High","Easy",247,5368,"Truck","Rain","Medium","Yes",13,1,5602.0,1514.0,2596.0,57039.0,9712.0,47327.0,0.8297,4.8,"On Time",39.32,74.66,764.0,19160.73,3,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0035","2025-02-20","February","Munsiyari","Altitude Movers","Fuel & Energy",383,"High","Easy",128,2523,"Pickup Van","Clear","Low","No",6,0,6247.0,2664.0,2421.0,56346.0,11332.0,45014.0,0.7989,4.8,"On Time",88.53,147.12,383.0,35167.19,2,"Medium Profit","Excellent","No Delay","Standard","Medium"
"SH0036","2025-02-24","February","Kedarnath","PeakRoute Supply","Food Supplies",302,"Medium","Medium",166,5166,"Pickup Van","Clear","Medium","Yes",8,0,5094.0,5543.0,2818.0,77673.0,13455.0,64218.0,0.8268,5.0,"On Time",81.05,257.2,302.0,38685.54,4,"High Profit","Excellent","No Delay","Premium","Medium"
"SH0037","2025-09-15","September","Spiti","PeakRoute Supply","Medical Supplies",881,"Medium","Hard",380,3544,"Truck","Clear","Medium","No",21,2,8741.0,5542.0,3358.0,54038.0,17641.0,36397.0,0.6735,4.6,"On Time",46.42,61.34,881.0,9578.16,5,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0038","2025-07-23","July","Valley of Flowers","Altitude Movers","Fuel & Energy",154,"Low","Medium",144,1764,"Truck","Clear","Medium","No",7,0,3550.0,2757.0,1166.0,16683.0,7473.0,9210.0,0.5521,4.8,"On Time",51.9,108.33,154.0,6395.83,4,"Low Profit","Excellent","No Delay","Basic","Low"
"SH0039","2025-12-19","December","Munsiyari","Himalayan Freight","Construction Material",783,"Low","Easy",383,1855,"Off-road Vehicle","Clear","Medium","Yes",19,0,2954.0,1702.0,1322.0,70508.0,5978.0,64530.0,0.9152,5.0,"On Time",15.61,90.05,783.0,16848.56,3,"High Profit","Excellent","No Delay","Premium","Low"
"SH0040","2025-06-01","June","Munsiyari","Himalayan Freight","Food Supplies",413,"Medium","Easy",217,3926,"Off-road Vehicle","Rain","Medium","Yes",11,1,7787.0,1808.0,772.0,21195.0,10367.0,10828.0,0.5109,4.8,"On Time",47.77,51.32,413.0,4989.86,3,"Low Profit","Excellent","Minor Delay","Basic","Low"
"SH0041","2025-12-11","December","Auli","Everest Cargo Solutions","Food Supplies",409,"Medium","Medium",259,4257,"Truck","Rain","Low","No",15,3,4974.0,2955.0,565.0,28356.0,8494.0,19862.0,0.7005,4.3,"On Time",32.8,69.33,409.0,7668.73,3,"Low Profit","Good","Moderate Delay","Basic","Low"
"SH0042","2025-04-27","April","Chamoli","Himalayan Freight","Food Supplies",130,"High","Hard",251,4815,"Pickup Van","Rain","Medium","No",17,5,10714.0,5604.0,2433.0,63347.0,18751.0,44596.0,0.704,4.0,"Delayed",74.71,487.28,130.0,17767.33,5,"Medium Profit","Average","Moderate Delay","Standard","Low"
"SH0043","2025-02-11","February","Yamunotri","Altitude Movers","Fuel & Energy",576,"Low","Hard",376,4679,"Off-road Vehicle","Clear","Low","Yes",18,0,8890.0,1142.0,2681.0,30445.0,12713.0,17732.0,0.5824,5.0,"On Time",33.81,52.86,576.0,4715.96,4,"Low Profit","Excellent","No Delay","Basic","Low"
"SH0044","2025-11-27","November","Leh","Altitude Movers","Medical Supplies",481,"High","Medium",354,2151,"Mini Truck","Clear","High","Yes",21,4,7006.0,3319.0,1250.0,69441.0,11575.0,57866.0,0.8333,4.5,"On Time",32.7,144.37,481.0,16346.33,5,"High Profit","Good","Moderate Delay","Standard","Low"
"SH0045","2025-05-31","May","Munsiyari","MountainLink Transport","Trekking Equipment",62,"High","Medium",328,3466,"Pickup Van","Clear","Low","Yes",16,0,3552.0,4086.0,1745.0,35394.0,9383.0,26011.0,0.7349,5.0,"On Time",28.61,570.87,62.0,7930.18,3,"Medium Profit","Excellent","No Delay","Basic","Low"
"SH0046","2025-10-11","October","Uttarkashi","Himalayan Freight","Fuel & Energy",612,"Medium","Medium",341,4390,"Pickup Van","Rain","Medium","Yes",19,2,6360.0,1992.0,2843.0,73559.0,11195.0,62364.0,0.8478,4.7,"On Time",32.83,120.19,612.0,18288.56,4,"High Profit","Excellent","Minor Delay","Premium","Low"
"SH0047","2025-08-08","August","Tungnath","MountainLink Transport","Trekking Equipment",829,"High","Medium",350,2538,"Off-road Vehicle","Rain","Medium","No",21,4,4254.0,1102.0,2950.0,65109.0,8306.0,56803.0,0.8724,4.2,"On Time",23.73,78.54,829.0,16229.43,4,"High Profit","Good","Moderate Delay","Standard","Low"
"SH0048","2025-03-12","March","Leh","Everest Cargo Solutions","Medical Supplies",170,"Low","Easy",210,2790,"Truck","Clear","Medium","No",12,2,2776.0,3298.0,847.0,68662.0,6921.0,61741.0,0.8992,4.6,"On Time",32.96,403.89,170.0,29400.48,3,"High Profit","Excellent","Minor Delay","Standard","Medium"
"SH0049","2025-10-03","October","Chamoli","Everest Cargo Solutions","Food Supplies",398,"High","Easy",260,5365,"Off-road Vehicle","Rain","Medium","No",18,5,3264.0,2677.0,1966.0,54803.0,7907.0,46896.0,0.8557,4.0,"Delayed",30.41,137.7,398.0,18036.92,3,"Medium Profit","Average","Moderate Delay","Standard","Low"
"SH0050","2025-08-05","August","Badrinath","Altitude Movers","Construction Material",964,"High","Medium",161,1966,"Pickup Van","Rain","Low","Yes",9,1,5977.0,4903.0,595.0,23970.0,11475.0,12495.0,0.5213,4.8,"On Time",71.27,24.87,964.0,7760.87,3,"Low Profit","Excellent","Minor Delay","Basic","Low"
"SH0051","2025-03-26","March","Leh","MountainLink Transport","Fuel & Energy",547,"Low","Medium",199,5253,"Off-road Vehicle","Clear","Medium","No",11,2,3168.0,1145.0,2838.0,18213.0,7151.0,11062.0,0.6074,4.5,"On Time",35.93,33.3,547.0,5558.79,4,"Low Profit","Excellent","Minor Delay","Basic","Low"
"SH0052","2025-06-16","June","Yamunotri","PeakRoute Supply","Medical Supplies",92,"Medium","Hard",315,3761,"Off-road Vehicle","Clear","Medium","No",17,2,5310.0,3373.0,3864.0,44309.0,12547.0,31762.0,0.7168,4.6,"On Time",39.83,481.62,92.0,10083.17,5,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0053","2025-04-14","April","Chamoli","Everest Cargo Solutions","Medical Supplies",951,"Low","Hard",392,1729,"Truck","Clear","Medium","No",21,2,6020.0,2544.0,2853.0,64916.0,11417.0,53499.0,0.8241,4.6,"On Time",29.13,68.26,951.0,13647.7,5,"High Profit","Excellent","Minor Delay","Standard","Low"
"SH0054","2025-07-04","July","Chamoli","MountainLink Transport","Trekking Equipment",862,"Low","Easy",362,1834,"Truck","Snow","Medium","No",24,6,7024.0,1705.0,4094.0,36572.0,12823.0,23749.0,0.6494,3.9,"Delayed",35.42,42.43,862.0,6560.5,3,"Low Profit","Average","Severe Delay","Basic","Low"
"SH0055","2025-01-02","January","Uttarkashi","SnowPeak Logistics","Trekking Equipment",944,"High","Medium",319,1511,"Pickup Van","Clear","Medium","Yes",15,0,3086.0,5572.0,2274.0,22393.0,10932.0,11461.0,0.5118,5.0,"On Time",34.27,23.72,944.0,3592.79,4,"Low Profit","Excellent","No Delay","Basic","Low"
"SH0056","2025-02-07","February","Badrinath","Everest Cargo Solutions","Medical Supplies",224,"Medium","Hard",124,2420,"Truck","Snow","Low","Yes",10,4,9326.0,5107.0,5498.0,89481.0,19931.0,69550.0,0.7773,4.5,"On Time",160.73,399.47,224.0,56088.71,4,"High Profit","Good","Moderate Delay","Premium","High"
"SH0057","2025-07-23","July","Leh","PeakRoute Supply","Fuel & Energy",622,"High","Medium",265,4407,"Mini Truck","Fog","High","No",19,6,3778.0,1717.0,1831.0,75058.0,7326.0,67732.0,0.9024,3.9,"Delayed",27.65,120.67,622.0,25559.25,5,"High Profit","Average","Severe Delay","Premium","Medium"
"SH0058","2025-11-11","November","Uttarkashi","Everest Cargo Solutions","Trekking Equipment",900,"High","Medium",81,2398,"Pickup Van","Clear","High","No",10,6,6772.0,2174.0,940.0,19918.0,9886.0,10032.0,0.5037,3.9,"Delayed",122.05,22.13,900.0,12385.19,5,"Low Profit","Average","Severe Delay","Basic","Low"
"SH0059","2025-08-18","August","Roopkund","Altitude Movers","Retail Goods",814,"Medium","Easy",215,4641,"Truck","Clear","Low","No",12,2,3493.0,5447.0,1860.0,51623.0,10800.0,40823.0,0.7908,4.5,"On Time",50.23,63.42,814.0,18987.44,2,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0060","2025-11-02","November","Hemkund Sahib","PeakRoute Supply","Medical Supplies",633,"High","Medium",149,3255,"Truck","Rain","Medium","Yes",9,2,8041.0,3571.0,617.0,89507.0,12229.0,77278.0,0.8634,4.8,"On Time",82.07,141.4,633.0,51864.43,4,"High Profit","Excellent","Minor Delay","Premium","High"
"SH0061","2025-09-13","September","Valley of Flowers","Everest Cargo Solutions","Fuel & Energy",57,"Medium","Medium",273,3707,"Truck","Clear","Low","No",15,2,8555.0,5601.0,2998.0,47603.0,17154.0,30449.0,0.6396,4.5,"On Time",62.84,835.14,57.0,11153.48,3,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0062","2025-05-29","May","Hemkund Sahib","Everest Cargo Solutions","Medical Supplies",367,"Low","Medium",374,3942,"Off-road Vehicle","Rain","Medium","No",24,6,8439.0,3566.0,843.0,65121.0,12848.0,52273.0,0.8027,4.0,"Delayed",34.35,177.44,367.0,13976.74,4,"High Profit","Average","Severe Delay","Standard","Low"
"SH0063","2025-03-08","March","Roopkund","Altitude Movers","Fuel & Energy",506,"Low","Hard",242,4073,"Mini Truck","Clear","Medium","No",12,0,10874.0,5287.0,3984.0,76856.0,20145.0,56711.0,0.7379,4.8,"On Time",83.24,151.89,506.0,23434.3,5,"High Profit","Excellent","No Delay","Premium","Low"
"SH0064","2025-03-22","March","Yamunotri","Himalayan Freight","Medical Supplies",561,"High","Medium",297,1793,"Pickup Van","Rain","Low","Yes",18,4,5686.0,4665.0,1743.0,87183.0,12094.0,75089.0,0.8613,4.5,"On Time",40.72,155.41,561.0,25282.49,3,"High Profit","Good","Moderate Delay","Premium","Medium"
"SH0065","2025-05-21","May","Munsiyari","SnowPeak Logistics","Food Supplies",299,"Low","Medium",89,3058,"Truck","Clear","Low","Yes",4,0,5330.0,2233.0,2155.0,61565.0,9718.0,51847.0,0.8422,5.0,"On Time",109.19,205.9,299.0,58255.06,3,"High Profit","Excellent","No Delay","Standard","High"
"SH0066","2025-06-11","June","Uttarkashi","Altitude Movers","Retail Goods",86,"High","Medium",356,4222,"Truck","Clear","High","Yes",20,3,6547.0,2301.0,1527.0,18141.0,10375.0,7766.0,0.4281,4.5,"On Time",29.14,210.94,86.0,2181.46,5,"Low Profit","Good","Moderate Delay","Basic","Low"
"SH0067","2025-05-07","May","Yamunotri","MountainLink Transport","Medical Supplies",760,"Medium","Hard",350,5348,"Truck","Clear","Medium","No",18,1,7780.0,2434.0,3443.0,44042.0,13657.0,30385.0,0.6899,4.7,"On Time",39.02,57.95,760.0,8681.43,5,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0068","2025-05-26","May","Munsiyari","Himalayan Freight","Construction Material",861,"High","Hard",255,4843,"Off-road Vehicle","Clear","Medium","No",12,0,7354.0,2431.0,4142.0,61237.0,13927.0,47310.0,0.7726,4.8,"On Time",54.62,71.12,861.0,18552.94,5,"Medium Profit","Excellent","No Delay","Standard","Low"
"SH0069","2025-02-04","February","Munsiyari","PeakRoute Supply","Fuel & Energy",262,"Low","Easy",119,5182,"Off-road Vehicle","Snow","High","Yes",14,9,5616.0,5769.0,3215.0,27946.0,14600.0,13346.0,0.4776,3.7,"Delayed",122.69,106.66,262.0,11215.13,4,"Low Profit","Poor","Severe Delay","Basic","Low"
"SH0070","2025-04-13","April","Roopkund","MountainLink Transport","Food Supplies",180,"Medium","Hard",337,4665,"Off-road Vehicle","Clear","Medium","Yes",16,0,5807.0,5742.0,4035.0,49634.0,15584.0,34050.0,0.686,5.0,"On Time",46.24,275.74,180.0,10103.86,5,"Medium Profit","Excellent","No Delay","Standard","Low"
"SH0071","2025-08-24","August","Valley of Flowers","Everest Cargo Solutions","Medical Supplies",714,"High","Medium",359,1529,"Mini Truck","Clear","Low","Yes",17,0,8609.0,3691.0,1313.0,34353.0,13613.0,20740.0,0.6037,5.0,"On Time",37.92,48.11,714.0,5777.16,3,"Low Profit","Excellent","No Delay","Basic","Low"
"SH0072","2025-05-13","May","Valley of Flowers","Himalayan Freight","Construction Material",458,"Low","Medium",121,3320,"Mini Truck","Clear","Medium","Yes",6,0,4966.0,2035.0,1878.0,55110.0,8879.0,46231.0,0.8389,5.0,"On Time",73.38,120.33,458.0,38207.44,4,"Medium Profit","Excellent","No Delay","Standard","Medium"
"SH0073","2025-07-27","July","Hemkund Sahib","Everest Cargo Solutions","Medical Supplies",751,"Low","Medium",251,3440,"Mini Truck","Rain","Medium","Yes",14,2,4063.0,1620.0,1049.0,33191.0,6732.0,26459.0,0.7972,4.8,"On Time",26.82,44.2,751.0,10541.43,4,"Medium Profit","Excellent","Minor Delay","Basic","Low"
"SH0074","2025-01-12","January","Chamoli","SnowPeak Logistics","Trekking Equipment",963,"Medium","Hard",200,3161,"Mini Truck","Rain","Low","No",14,4,6918.0,2488.0,2258.0,33217.0,11664.0,21553.0,0.6489,4.2,"On Time",58.32,34.49,963.0,10776.5,4,"Low Profit","Good","Moderate Delay","Basic","Low"
"SH0075","2025-09-26","September","Yamunotri","Altitude Movers","Trekking Equipment",792,"Medium","Medium",205,4722,"Mini Truck","Rain","Low","Yes",14,4,6502.0,2067.0,2583.0,27750.0,11152.0,16598.0,0.5981,4.4,"On Time",54.4,35.04,792.0,8096.59,3,"Low Profit","Good","Moderate Delay","Basic","Low"
"SH0076","2025-03-21","March","Tungnath","Altitude Movers","Retail Goods",183,"Medium","Easy",162,5270,"Off-road Vehicle","Clear","Low","Yes",8,0,5748.0,5341.0,2298.0,79965.0,13387.0,66578.0,0.8326,5.0,"On Time",82.64,436.97,183.0,41097.53,2,"High Profit","Excellent","No Delay","Premium","Medium"
"SH0077","2025-05-16","May","Tungnath","MountainLink Transport","Food Supplies",607,"High","Medium",340,3062,"Truck","Snow","Low","No",22,5,3296.0,5122.0,3778.0,36120.0,12196.0,23924.0,0.6623,4.0,"Delayed",35.87,59.51,607.0,7036.47,3,"Low Profit","Average","Moderate Delay","Basic","Low"
"SH0078","2025-03-28","March","Badrinath","SnowPeak Logistics","Trekking Equipment",473,"Medium","Hard",281,3016,"Off-road Vehicle","Clear","Medium","No",15,1,8284.0,5316.0,3088.0,73118.0,16688.0,56430.0,0.7718,4.6,"On Time",59.39,154.58,473.0,20081.85,5,"High Profit","Excellent","Minor Delay","Premium","Low"
"SH0079","2025-04-11","April","Hemkund Sahib","MountainLink Transport","Medical Supplies",626,"High","Medium",370,5026,"Truck","Rain","Low","Yes",19,1,6058.0,3923.0,2373.0,53203.0,12354.0,40849.0,0.7678,4.9,"On Time",33.39,84.99,626.0,11040.27,3,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0080","2025-09-29","September","Kedarnath","Himalayan Freight","Medical Supplies",170,"Low","Hard",313,3780,"Pickup Van","Rain","Medium","Yes",17,2,6383.0,2937.0,1878.0,88834.0,11198.0,77636.0,0.8739,4.8,"On Time",35.78,522.55,170.0,24803.83,5,"High Profit","Excellent","Minor Delay","Premium","Low"
"SH0081","2025-03-18","March","Munsiyari","Himalayan Freight","Retail Goods",155,"High","Medium",207,4458,"Off-road Vehicle","Clear","Medium","Yes",10,0,7848.0,5062.0,1350.0,44872.0,14260.0,30612.0,0.6822,5.0,"On Time",68.89,289.5,155.0,14788.41,4,"Medium Profit","Excellent","No Delay","Standard","Low"
